fl_date,op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,crs_arr_time,arr_time,arr_delay,cancelled,distance
2024-01-01,9E,5044,MSN,"Madison, WI",MSP,"Minneapolis, MN",1500,1445,-15,1620,1551,-29,0,228
2024-01-01,9E,5044,MSP,"Minneapolis, MN",MSN,"Madison, WI",1106,1100,-6,1229,1202,-27,0,228
2024-01-01,9E,5052,MSP,"Minneapolis, MN",MSN,"Madison, WI",2020,2012,-8,2149,2142,-7,0,228
2024-01-01,9E,5097,DTW,"Detroit, MI",MSN,"Madison, WI",842,835,-7,914,849,-25,0,311
2024-01-01,9E,5097,MSN,"Madison, WI",DTW,"Detroit, MI",1100,1051,-9,1315,1302,-13,0,311
2024-01-01,9E,5101,ATL,"Atlanta, GA",MSN,"Madison, WI",2005,2006,1,2115,2108,-7,0,707
2024-01-01,9E,5183,MSN,"Madison, WI",ATL,"Atlanta, GA",530,526,-4,849,840,-9,0,707
2024-01-01,9E,5386,MSN,"Madison, WI",MSP,"Minneapolis, MN",550,545,-5,710,649,-21,0,228
2024-01-01,AA,1002,MSN,"Madison, WI",CLT,"Charlotte, NC",605,600,-5,916,911,-5,0,708
2024-01-01,AA,1014,CLT,"Charlotte, NC",MSN,"Madison, WI",2030,2119,49,2143,2226,43,0,708
2024-01-01,AA,1168,CLT,"Charlotte, NC",MSN,"Madison, WI",1430,1427,-3,1542,1532,-10,0,708
2024-01-01,AA,1168,MSN,"Madison, WI",CLT,"Charlotte, NC",1622,1617,-5,1940,1921,-19,0,708
2024-01-01,AA,634,MSN,"Madison, WI",PHX,"Phoenix, AZ",727,719,-8,1025,959,-26,0,1396
2024-01-01,AA,797,MSN,"Madison, WI",DFW,"Dallas/Fort Worth, TX",631,624,-7,922,858,-24,0,821
2024-01-01,AA,854,PHX,"Phoenix, AZ",MSN,"Madison, WI",1625,1628,3,2044,2044,0,0,1396
2024-01-01,AA,876,DFW,"Dallas/Fort Worth, TX",MSN,"Madison, WI",2059,2102,3,2317,2321,4,0,821
2024-01-01,DL,2520,DTW,"Detroit, MI",MSN,"Madison, WI",1655,1647,-8,1711,1651,-20,0,311
2024-01-01,DL,2662,MSN,"Madison, WI",DTW,"Detroit, MI",640,641,1,855,859,4,0,311
2024-01-01,DL,883,ATL,"Atlanta, GA",MSN,"Madison, WI",1130,1125,-5,1239,1226,-13,0,707
2024-01-01,DL,883,MSN,"Madison, WI",ATL,"Atlanta, GA",1336,1327,-9,1637,1616,-21,0,707
2024-01-01,F9,1559,MSN,"Madison, WI",DEN,"Denver, CO",1001,950,-11,1146,1059,-47,0,826
2024-01-01,F9,1560,DEN,"Denver, CO",MSN,"Madison, WI",600,549,-11,911,901,-10,0,826
2024-01-01,F9,3613,MCO,"Orlando, FL",MSN,"Madison, WI",1635,1623,-12,1845,1855,10,0,1109
2024-01-01,F9,3614,MSN,"Madison, WI",MCO,"Orlando, FL",1935,1926,-9,2349,2303,-46,0,1109
2024-01-01,MQ,3888,DFW,"Dallas/Fort Worth, TX",MSN,"Madison, WI",1425,1419,-6,1645,1656,11,0,821
2024-01-01,MQ,3888,MSN,"Madison, WI",DFW,"Dallas/Fort Worth, TX",1715,1730,15,2000,2003,3,0,821
2024-01-01,MQ,3890,DFW,"Dallas/Fort Worth, TX",MSN,"Madison, WI",1012,1006,-6,1235,1224,-11,0,821
2024-01-01,MQ,3890,MSN,"Madison, WI",DFW,"Dallas/Fort Worth, TX",1305,1301,-4,1550,1522,-28,0,821
2024-01-01,OH,5221,DCA,"Washington, DC",MSN,"Madison, WI",1131,1147,16,1250,1332,42,0,707
2024-01-01,OH,5221,MSN,"Madison, WI",DCA,"Washington, DC",1326,1400,34,1629,1659,30,0,707
2024-01-01,OH,5314,MSN,"Madison, WI",PHL,"Philadelphia, PA",1406,1405,-1,1713,1713,0,0,764
2024-01-01,OH,5314,PHL,"Philadelphia, PA",MSN,"Madison, WI",1150,1141,-9,1318,1310,-8,0,764
2024-01-01,OO,4714,MSN,"Madison, WI",ORD,"Chicago, IL",1330,1326,-4,1443,1426,-17,0,108
